32 490
0 0 0.5350818982822713
0 1 0.9634343756124698
0 2 0.39792876216910134
0 3 0.9783500506748243
0 5 0.22192231527379913
0 7 0.12382399733871596
0 9 0.12655470204714114
0 10 0.11409547764929295
0 11 0.8333082475456906
0 13 0.697216342694562
0 14 0.7518264767605577
0 15 0.6193469035839145
0 17 0.7944031947796701
0 18 0.7980933108026852
0 20 0.9417143260508656
0 21 0.08569032869906423
0 24 0.10989879122182178
0 26 0.01382848252120017
0 30 0.9086660447574896
1 3 0.4554177328521617
1 5 0.23163097953409706
1 6 0.6923416059746944
1 8 0.7941103853554862
1 12 0.027557798909141118
1 14 0.5189084253643095
1 15 0.8289068362208047
1 17 0.8028420141172534
1 21 0.35697558677722785
1 22 0.19266523432318627
1 24 0.5581362708851713
1 25 0.5170587349935707
1 27 0.4348723728309192
1 29 0.9548934594623182
2 1 0.11995109544366311
2 5 0.12351577926775459
2 6 0.615070079948594
2 8 0.6895162607635467
2 11 0.7504692482421423
2 12 0.6365221829284691
2 13 0.04815600961277644
2 14 0.42318757475933255
2 16 0.8201088772729106
2 17 0.35774639536440545
2 18 0.44272044257649745
2 19 0.5117311506347545
2 20 0.7541738394859598
2 24 0.08075510368224836
2 25 0.3584445291774552
2 27 0.419751616665042
2 28 0.8539304321298933
2 29 0.4499021960806403
2 31 0.9613204492405332
3 0 0.026103432147012384
3 2 0.7881647074211324
3 6 0.10193021592017182
3 9 0.3553483074752425
3 11 0.8775870188154626
3 12 0.9472597279626401
3 19 0.5646882931344763
3 20 0.30677846413943144
3 28 0.9787736887037808
3 30 0.5918541517517781
4 2 0.8335299400367553
4 4 0.9477146855349512
4 5 0.9844869565290673
4 8 0.7569910832607621
4 11 0.5409964720653244
4 12 0.03982699071045026
4 13 0.9346530542364166
4 16 0.22904399009383414
4 18 0.620695626655703
4 22 0.2175008762960774
4 27 0.6937139186712765
4 28 0.236998060187132
4 30 0.29291859496772854
4 31 0.7791883954371736
5 0 0.34761513841954106
5 6 0.8340400957704021
5 7 0.9502224270416322
5 9 0.27785462886840306
5 11 0.8244278017698283
5 12 0.9894948226643828
5 14 0.9788307691021715
5 15 0.09135229663392685
5 16 0.784914929233717
5 17 0.4158019310270805
5 19 0.2742581169762571
5 20 0.14589698130905226
5 22 0.42581193371877024
5 24 0.16616114836796536
5 25 0.46312202445648065
5 26 0.6996640686896825
5 27 0.8832579972254625
5 28 0.8790667930615453
5 29 0.46187962503290525
5 30 0.41566570618945275
5 31 0.05709412726005425
6 1 0.3200406087876779
6 4 0.2141300600791135
6 9 0.4286643192567281
6 10 0.2980916058310177
6 11 0.49201477771996893
6 14 0.6194566321903354
6 15 0.4818577278189142
6 16 0.830851697024335
6 18 0.3079520460012761
6 20 0.7270131515604603
6 24 0.17195182118054753
6 25 0.07872435354082641
6 29 0.1276973723374425
6 31 0.6358171884845183
7 3 0.3154058069464406
7 6 0.5059480051537689
7 7 0.388700284765922
7 8 0.19296279075059308
7 9 0.03272290615367324
7 10 0.7301179356575513
7 15 0.976395756872434
7 16 0.5819748804859917
7 17 0.13168706475292324
7 24 0.01944546771316391
7 25 0.6130880083841561
7 28 0.6503076233970024
7 29 0.5193926176208493
8 3 0.8158980651227369
8 6 0.12304062168715912
8 7 0.9705538962720417
8 8 0.14743504333337687
8 9 0.11240567737675333
8 10 0.18809607028917608
8 14 0.719546821729456
8 15 0.38619069775296866
8 16 0.2369580292461766
8 17 0.4591228019215151
8 18 0.5367727237237089
8 21 0.054049403201426705
8 22 0.5690677658376689
8 24 0.9695319376342298
8 28 0.5806181217881553
8 29 0.9914882028511823
9 0 0.4709527116709191
9 1 0.9700151421688515
9 2 0.07086675953521127
9 6 0.08351248407429124
9 7 0.33164817216744236
9 8 0.24281391603543556
9 10 0.6748912138810691
9 11 0.4284699009828743
9 12 0.5694838823181876
9 22 0.18623852011451603
9 23 0.4681971183964324
9 25 0.39097977100648584
9 26 0.5105118488242116
9 27 0.015132691406862797
9 28 0.8504390085467691
9 30 0.06822656500868096
9 31 0.1354593775914963
10 2 0.6055959788984275
10 4 0.7286728852411914
10 10 0.8443497420539252
10 11 0.48188714078006467
10 12 0.7075578510047963
10 13 0.8087259673457184
10 16 0.4047444739149739
10 17 0.39476802322468707
10 18 0.043725061913444385
10 20 0.7829421979378509
10 23 0.4974235048368443
10 25 0.5686121663945495
10 26 0.13231187890034024
10 29 0.03073323802829009
10 31 0.8964602900900047
11 2 0.5537545604101863
11 4 0.592667043273073
11 5 0.7710003733255556
11 6 0.6698715846562201
11 9 0.45440706064919445
11 10 0.5761803181301945
11 11 0.8955841215667322
11 12 0.21258254693487966
11 13 0.07445453244583977
11 16 0.2717389072850034
11 20 0.5338748100391147
11 23 0.4361217860927964
11 24 0.9317847051168988
11 29 0.33756541819265184
12 1 0.2956750101272805
12 2 0.17739918457054393
12 4 0.5040452033523362
12 7 0.7220185381291934
12 8 0.6547384463301053
12 9 0.2390088976029987
12 12 0.31560753307497047
12 14 0.441940569921349
12 21 0.3273492151374544
12 22 0.6204917628347938
12 27 0.15945269024900377
12 28 0.4753042634518809
12 29 0.6655875419367067
12 31 0.13381704406335104
13 1 0.375544554379301
13 2 0.0539008136234862
13 3 0.5585410769544833
13 4 0.24675114400950493
13 5 0.42128665119918507
13 9 0.8022481102274827
13 11 0.47886055993556176
13 12 0.940432630900815
13 14 0.05233510326979263
13 21 0.8507603395660117
13 22 0.3277910051692119
13 24 0.6991204898737602
13 26 0.3923463543035314
13 27 0.4505870070714163
13 30 0.10650551247747386
13 31 0.5041426091082027
14 1 0.9763530175483613
14 2 0.010807741718578123
14 4 0.8127985783507371
14 5 0.5611397754455911
14 7 0.9420801364116598
14 12 0.7394070572767182
14 13 0.044943413702224766
14 15 0.9633138104648942
14 22 0.3291085089372363
14 23 0.8211491639141965
14 25 0.44042304059441584
14 26 0.03660640732326126
14 29 0.6780086688132638
14 31 0.38835338428765986
15 0 0.9421732122259382
15 2 0.5342185717988147
15 3 0.46895284225360745
15 5 0.2549909258515103
15 8 0.9585839288348046
15 10 0.5192834054239646
15 11 0.37878547441509447
15 13 0.44746970783772555
15 16 0.2889814050582481
15 17 0.45736243744718785
15 21 0.10880315424056786
15 22 0.14232130574413793
15 25 0.35501177859842026
15 26 0.017583184981382893
15 30 0.22054081876165044
16 0 0.22657137842143038
16 4 0.8609151093003724
16 11 0.5352107747568221
16 12 0.31714956451031595
16 13 0.021929157411152977
16 14 0.536989117011759
16 15 0.0016998028130060794
16 16 0.7385949637106347
16 29 0.6576767309597199
17 1 0.4298329041014094
17 3 0.8045906913521259
17 5 0.09919498101228941
17 7 0.006865125526105298
17 10 0.6300380160438293
17 13 0.798930178362062
17 14 0.3851179494281508
17 15 0.41224234918266933
17 17 0.10356698681089371
17 18 0.8253848780542834
17 19 0.6452946480683335
17 24 0.5638276383379834
17 25 0.18924951256578082
17 27 0.4270292074105817
17 28 0.03816779276391524
17 31 0.6059684473382606
18 0 0.02412855451248397
18 1 0.6702313806593131
18 2 0.37330830958413186
18 9 0.15387730485986184
18 11 0.07473910587729249
18 13 0.19037435190644159
18 14 0.5761445367250968
18 15 0.9628070189295126
18 19 0.1924884528805395
18 20 0.848758769524468
18 22 0.29220029907308653
18 27 0.8882306699003466
18 29 0.7704103521714516
